index,target,tags,irrelevant_tags
621,0,alley | attach | building | car | illuminate | night | night view | pole | school bus | sign | stair | stop sign | street sign | traffic sign,building | night | street sign | sign | illuminate | night view | traffic sign | pole | alley | attach | stop sign | stair
1126,0,black | car | drive | driveway | flood | house | house exterior | license plate | park | red | road | sedan | stop sign | traffic sign,house | flood | red | park | traffic sign | house exterior | road | stop sign | black
4540,1,attach | back | drive | horse | forest | hay | plectrum | pick up | road | rural | trailer truck | truck | white,forest | back | hay | plectrum | horse | attach | road | rural | white
6245,1,car | flip | highway | jump | lift | mountain path | pine | road | stone | stunt | suv | tree | trick | vehicle | white,jump | tree | stone | pine | trick | flip | mountain path | stunt | highway | road | white | lift
2524,0,alley | blanket | car | curb | miniature | model car | night | park | parking | parking sign | pillow | road | sign | street sign | toy car | white,pillow | night | parking sign | sign | street sign | blanket | park | alley | parking | road | curb | miniature | white
6226,1,animal | car | cloudy | crop | drive | pollution | red | road | rural | sheep | sky | smoke | spray | trailer truck | truck | van,sheep | crop | cloudy | red | animal | spray | smoke | pollution | road | rural | sky
1470,0,archway | balustrade | car | exit | lead | lead to | park | sedan | stair | sports car | suv | white,archway | balustrade | park | lead to | lead | exit | white | stair
923,0,car | doorway | exit | hydrant | lift | park | red | stone building | sports car,hydrant | doorway | red | park | exit | lift | stone building
2604,0,building | car | city | city view | lift | peak | red | skyscraper | traffic light | stunt | sports car | suv | toy car | urban,peak | traffic light | skyscraper | city | red | stunt | lift | city view | urban | building
593,0,car | city | city skyline | city view | flip | highway | jump | license plate | lift | night | night view | overpass | street sign | stunt | suv | urban | vehicle,jump | night | street sign | night view | flip | city | overpass | stunt | highway | lift | city view | urban | city skyline
7586,1,attach | car | dirt road | dirt track | flip | fly | hang | jump | lift | pick up | road | rural | sky | strap | stunt | suv | truck | white,jump | strap | hang | flip | dirt track | dirt road | stunt | attach | road | rural | fly | sky | white | lift
2253,0,building | car | pillar | flip | fly | lift | office building | pole | sky | stop sign | stunt | traffic sign,flip | pillar | office building | traffic sign | pole | fly | stunt | lift | stop sign | sky | building
7933,1,car | crop | dirt field | dirt road | dirt track | drive | field | land | pick up | plow | ram | road | rural | silver | suv | travel | truck | vineyard,crop | ram | land | silver | plow | travel | dirt track | dirt field | dirt road | field | road | rural | vineyard
7347,1,car | pony | flip | horse | jump | pick up | pink | red | sky | stunt | suv | trick | white,jump | pony | trick | horse | flip | red | pink | stunt | sky | white
1686,0,car | driveway | flip | home | jump | house | house exterior | license plate | park | pole | sedan | stop light | traffic light | street sign | suv | white,jump | stop light | traffic light | street sign | flip | home | house | park | pole | house exterior | white
7367,1,car | chase | curve | dog | jump | red | retriever | road | rural | suv,jump | dog | red | curve | chase | retriever | road | rural
3120,0,car | construction site | driveway | green | house exterior | miniature | model car | pole | street sign | toy car | train track,street sign | green | construction site | pole | house exterior | train track | miniature
4375,1,car | desert | desert road | dirt field | dirt road | dirt track | drive | land | license plate | road | rural | sedan | silver | sky | suv | vehicle,land | silver | dirt track | dirt field | desert | dirt road | desert road | road | rural | sky
578,0,car | driveway | home | house | house exterior | modern,modern | house exterior | home | house
6252,1,animal | car | dirt road | dirt track | drive | jeep | ram | road | rural | sheep | stand | suv | vehicle,sheep | ram | dirt track | dirt road | animal | stand | road | rural
4383,1,attach | blue | car | cloudy | highway | pick up | pole | red | road | rural | sky | stop light | traffic light | truck,stop light | traffic light | cloudy | red | blue | pole | attach | highway | road | rural | sky
2431,0,alley | building | car | curb | floor | hydrant | license plate | park | pole | red | toy car,hydrant | red | park | floor | pole | alley | curb | building
4099,1,animal | building | bull | car | hang | park | store | storefront,bull | storefront | animal | park | store | hang | building
3777,0,animal | bull | calf | car | cow | cross | curb | pavement | rhinoceros | road | silver | sports car | walk,cow | pavement | silver | bull | rhinoceros | calf | walk | animal | road | cross | curb
6697,1,car | dirt road | dirt track | field | horse | path | grassy | green | lift | lush | pick up | red | road | rural | sky | stand | truck,grassy | lush | green | horse | dirt track | dirt road | red | field | stand | road | rural | path | sky | lift
2380,0,car | charge | fill | fuel | gas | gas station | pole | pump | toy car,charge | fill | gas | pole | gas station | fuel | pump
1606,0,big ben | building | car | city | fly | tower | sky | spire,city | big ben | fly | tower | sky | spire | building
5439,1,boulder | car | cliff | hill | hillside | park | pick up | red | stone | rocky | sky | suv | terrain | truck,rocky | stone | terrain | hill | red | cliff | hillside | park | sky | boulder
6582,1,animal | blanket | bull | car | cow | cross | drive | license plate | pick up | red | road | rural | snow | snowy | suv | walk | yak,cow | road | bull | walk | blanket | snow | red | yak | animal | cross | snowy | rural
2501,0,car | pillar | driveway | floor | manhole cover | park | porch | stop sign | traffic sign,porch | pillar | park | manhole cover | floor | traffic sign | stop sign
7434,1,animal | bull | car | cattle | cow | desert | desert road | dirt road | dirt track | drive | license plate | road | rural | stand | suv | trailer | trailer truck | truck | walk | white,cow | cattle | bull | walk | dirt track | desert | desert road | animal | dirt road | stand | trailer | road | rural | white
7179,1,animal | car | drive | flip | jump | minivan | mountain path | road | suv,jump | flip | animal | mountain path | road
7038,1,animal | bison | buffalo | bull | car | cross | grass | graze | moose | road | stand | suv,moose | grass | bull | animal | buffalo | bison | stand | road | cross | graze
2824,0,car | driveway | flip | home | jump | house | house exterior | stunt | sports car | white,jump | flip | house | home | stunt | house exterior | white
3134,0,building | car | curb | drive | flip | jump | license plate | park | road | sedan | silver | street sign | suv,jump | street sign | silver | flip | park | road | curb | building
946,0,alley | building | car | dark | headlight | license plate | night | night view | park | sedan | white,night | dark | night view | park | alley | headlight | white | building
6884,1,animal | car | deer | dirt road | moose | road | rural | suv | tree,tree | moose | dirt road | deer | animal | road | rural
5472,1,brown | car | chase | dirt road | flower | horse | jump | road | rural | sedan | suv | wildflower | yellow,jump | wildflower | yellow | flower | horse | brown | dirt road | chase | road | rural
719,0,car | driveway | flip | home | house | house exterior | meter | parking meter | pole | red | stunt | sports car,flip | home | house | red | parking meter | pole | stunt | house exterior | meter
94,0,building | car | floor | illuminate | miniature | model car | office building | sign | silver | street sign | toy car,street sign | sign | silver | illuminate | office building | floor | miniature | building
6883,1,animal | bull | car | cattle | cow | path | lush | park | road | stand | tree | walk,cattle | cow | lush | tree | bull | walk | animal | park | stand | road | path
5377,1,animal | bison | buffalo | bull | car | drive | highway | hay | lush | pick up | road | rural | trailer truck | truck | white | yak,lush | hay | bull | yak | animal | buffalo | bison | highway | road | rural | white
6583,1,car | drive | jeep | park | pine | redwood | stump | suv | tree | tree trunk,tree trunk | tree | pine | stump | park | redwood
292,0,car | driveway | flip | jump | lift | palm tree | parking meter | red | stunt | sports car,jump | flip | palm tree | parking meter | red | stunt | lift
5870,1,animal | car | cow | cross | highway | road | rural | sheep | truck | walk | white,cow | sheep | cross | walk | animal | highway | road | rural | white
6721,1,animal | bull | car | cattle | couple | cow | drive | highway | lift | pick up | road | rural | stand | suv | truck,cattle | cow | couple | bull | animal | stand | highway | road | rural | lift
760,0,car | flip | jump | parking sign | ramp | road | sign | silver | street sign,jump | parking sign | street sign | sign | silver | flip | ramp | road
3645,0,alley | animal | car | garage door | night | park | parking garage | parking meter | stand | suv | vehicle | walk,parking garage | night | garage door | walk | parking meter | animal | park | stand | alley
3597,0,car | driveway | garage | home | house | house exterior | lawn | lush | park | red | suv | tree | yard,lush | tree | garage | lawn | house | home | red | yard | park | house exterior
2041,0,alley | building | car | doodle | drive | flip | jump | red | road | train track,jump | flip | doodle | red | alley | road | train track | building
2036,0,building | car | driveway | flip | garage | home | jump | house | house exterior | lift | park | red | stunt,jump | flip | garage | house | home | red | park | stunt | house exterior | lift | building
2377,0,car | curb | driveway | miniature | model car | pavement | silver | sports car | toy car,curb | pavement | silver | miniature
4048,1,animal | building | car | elephant | jump | hotel | lift | stunt | suv | trick | vehicle,jump | trick | elephant | hotel | animal | stunt | lift | building
2241,0,building | car | city | city street | jump | meter | parking meter | pole | silver | sports car | urban,jump | building | silver | city | parking meter | city street | pole | urban | meter
4710,1,car | desert road | drive | highway | road | suv | white,desert road | road | highway | white
1838,0,car | parking sign | sign | stop sign | street sign | traffic sign | white,parking sign | street sign | sign | traffic sign | stop sign | white
4280,1,car | flip | fly | jump | hydrant | jeep | road | rural | suv | tree,jump | tree | hydrant | flip | fly | road | rural
3853,0,car | desert road | highway | parking sign | road | road sign | rural | sign | sky | speed limit | speed limit sign | street sign | sports car,parking sign | street sign | sign | desert road | highway | road | rural | speed limit | sky | speed limit sign | road sign
5200,1,black | car | cloudy | dirt road | flip | jump | license plate | road | rural | sedan | sky | stormy | suv,jump | stormy | flip | cloudy | dirt road | road | rural | black | sky
1276,0,shed | blue | building | car | flip | garage | jump | minivan | park | stunt | suv | vehicle,jump | shed | flip | garage | blue | park | stunt | building
1538,0,alley | building | car | flip | green | jump | narrow | park | pole | red | road,jump | green | flip | narrow | red | park | pole | alley | road | building
934,0,car | driveway | flip | house exterior | lift | pick up | red | stop light | traffic light | tree,stop light | traffic light | tree | flip | red | house exterior | lift
7132,1,car | desert | desert road | flip | fly | jump | minivan | plain | silver | stunt | suv | vehicle,jump | plain | silver | flip | desert | desert road | stunt | fly
3013,0,attach | building | car | flip | garage | garage door | hang | jump | lift | park | ramp | street sign | stunt | suv,jump | building | street sign | garage door | flip | garage | ramp | park | stunt | attach | lift | hang
7963,1,animal | buffalo | car | elephant | forest | image | minivan | moose | park | photo | rhinoceros | road | sedan | stand | suv | tree | walk | white | wood,forest | tree | road | moose | rhinoceros | walk | photo | elephant | animal | buffalo | park | image | stand | wood | white
3201,0,accident | car | damage | driveway | flip | house exterior | lift | road | silver | stone house | stop sign | street sign | traffic sign,damage | street sign | silver | flip | stone house | traffic sign | house exterior | road | stop sign | lift
1682,0,alley | car | ghost | headlight | night | park | poster | white,night | poster | ghost | park | alley | headlight | white
7994,1,animal | black | car | cow | dog | mountain path | narrow | park | road | rural | stand | suv | walk,cow | walk | narrow | dog | animal | mountain path | park | stand | road | rural | black
4215,1,car | dirt field | dirt road | dirt track | drive | headlight | land | mud | road | rural | stop sign | suv | toy car | traffic sign,land | dirt track | stop sign | dirt field | dirt road | headlight | traffic sign | mud | road | rural
5504,1,animal | bull | car | cattle | couple | cow | desert road | road | rural | stand | suv | walk,cattle | cow | couple | bull | walk | desert road | animal | stand | road | rural
7154,1,animal | blue | car | cattle | couple | cow | cross | highway | graze | road | stand,cattle | cow | couple | blue | animal | stand | highway | road | cross | graze
5170,1,animal | bull | calf | car | cow | cross | goat | plectrum | pick up | ram | road | rural | stand | truck | walk | white,cow | goat | ram | bull | plectrum | calf | walk | animal | stand | cross | road | rural | white
5303,1,animal | bull | car | cattle | cloudy | cow | dirt road | dirt track | drive | jeep | road | rural | sky | stand | stormy | suv | truck,cattle | cow | stormy | bull | cloudy | dirt track | dirt road | animal | stand | road | rural | sky
3474,0,alley | building | car | drive | road | sky | stop sign | traffic sign | wet | yellow,wet | yellow | traffic sign | alley | road | stop sign | sky | building
6715,1,animal | bull | car | couple | cow | cross | drive | highway | jeep | ram | road | rural | sheep | stand | suv | truck | vehicle,cow | sheep | ram | cross | couple | bull | animal | stand | highway | road | rural
3705,0,car | driveway | flip | fly | garage | hang | jump | house | house exterior | red | stunt | trick,jump | trick | flip | garage | house | red | stunt | fly | house exterior | hang
5068,1,car | dog | lift | out | paw | plectrum | pick up | road | truck,plectrum | paw | dog | out | road | lift
2086,0,black | car | driveway | path | license plate | park | pergola | suv,path | black | park | pergola
5814,1,animal | car | dirt road | drive | lamb | lush | pick up | road | rural | sheep | truck | van | white,sheep | lush | lamb | dirt road | animal | road | rural | white
3433,0,building | car | church | pillar | courthouse | flip | fly | jump | silver | sky | stone building | stunt,jump | building | silver | flip | pillar | courthouse | stunt | fly | sky | church | stone building
5314,1,animal | bull | car | cattle | cow | park | pick up | road | rural | stand | truck | walk | white,cattle | cow | bull | walk | animal | park | stand | road | rural | white
6472,1,animal | black | car | flip | hang | jump | road | rural | sedan | street sign | suv | tree,jump | street sign | tree | flip | animal | road | rural | black | hang
4836,1,animal | bull | car | cow | pick up | pink | road | rural | stand | suv,cow | bull | animal | pink | stand | road | rural
4038,1,car | driveway | horse | garage | home | jump | house | house exterior | lift | park | suv | white,jump | horse | garage | house | home | park | house exterior | lift | white
7632,1,animal | blanket | car | donkey | drive | moose | reindeer | road | rural | silver | snow | snowy | stand | suv | winter,silver | donkey | moose | road | blanket | snow | reindeer | animal | stand | snowy | rural | winter
7721,1,blanket | car | drive | night | park | pink | red | road | rural | snow | snowy | sun | sunset | suv,night | road | sunset | blanket | snow | red | pink | park | snowy | rural | sun
1471,0,car | convenience store | flip | jump | lift | pole | stop light | traffic light | storefront | street corner | stunt | white,jump | stop light | traffic light | flip | storefront | pole | stunt | lift | convenience store | street corner | white
7646,1,animal | attach | car | horse | hang | jump | lift | pick up | road | rural | stunt | suv | truck | unicorn | white,jump | hang | unicorn | horse | animal | stunt | attach | road | rural | white | lift
5245,1,animal | car | drive | road | silver | stand | suv,road | animal | silver | stand
1179,0,alley | blue | building | car | license plate | narrow | park | road | street sign,street sign | narrow | blue | park | alley | road | building
24,0,building | car | flip | jump | lift | park | ramp | stunt | suv | white,jump | flip | ramp | park | stunt | lift | white | building
3461,0,car | pillar | dock | green | license plate | lift | sea | park | pole | pump | silver | stop light | traffic light | suv | water,stop light | traffic light | silver | green | sea | pillar | park | dock | pole | lift | pump | water
576,0,black | car | flip | jump | license plate | railroad | street sign | track | train track,jump | street sign | flip | track | railroad | train track | black
4150,1,animal | bison | brown | buffalo | bull | car | driveway | hedge | home | jump | house | house exterior | jeep | pick up | red | suv | truck | yard,jump | bull | brown | house | home | red | hedge | animal | buffalo | yard | bison | house exterior
2440,0,car | license plate | meter | park | parking meter | road | rural | sedan | white,parking meter | park | road | rural | white | meter
1936,0,car | city | city skyline | license plate | meter | park | parking meter | sports car | tree | urban | yellow,tree | yellow | city | parking meter | park | urban | city skyline | meter
6889,1,animal | brown | bull | calf | car | cow | jump | pick up | road | rural | suv | truck,cow | jump | bull | calf | brown | animal | road | rural
607,0,car | chapel | church | flip | lift | pole | red | spire | stop sign | street sign | stunt | traffic sign,street sign | flip | chapel | red | traffic sign | pole | stunt | lift | stop sign | spire | church
5939,1,attach | brown | car | pony | drive | horse | highway | lush | miniature | pick up | pull | red | road | rural | stand | suv,lush | pony | horse | brown | red | pull | stand | attach | highway | road | rural | miniature
2084,0,building | canopy | car | flip | jump | lift | night | park | stunt | white,jump | night | canopy | flip | park | stunt | lift | white | building
623,0,car | curb | house | house exterior | park | sign | white | yard,sign | house | yard | park | house exterior | curb | white
7695,1,animal | car | dirt road | dirt track | lamb | lush | pick up | ram | red | road | rural | sheep | stand | truck,sheep | lush | ram | dirt track | lamb | dirt road | red | animal | stand | road | rural
6870,1,car | pony | horse | miniature | red | road | rural | stand | suv,pony | horse | red | stand | road | rural | miniature
7156,1,animal | bison | blue | buffalo | bull | car | cattle | cow | cross | desert road | dirt road | drive | pick up | road | rural | truck | walk | yak,cattle | cow | bull | walk | desert road | blue | animal | buffalo | dirt road | bison | yak | cross | road | rural
6683,1,animal | car | drive | elephant | horse | jeep | road | rural | stand | suv | truck | vehicle | white,horse | elephant | animal | stand | road | rural | white
5085,1,car | flip | horse | highway | hang | jump | red | road | rural | sky | stunt | suv,jump | horse | flip | red | stunt | highway | road | rural | sky | hang
7724,1,animal | brown | calf | car | cloudy | pony | cow | donkey | drive | horse | highway | jeep | license plate | pick up | road | stand | suv | truck,cow | pony | donkey | calf | cloudy | horse | brown | animal | stand | highway | road
4344,1,car | drive | highway | hydrant | minivan | road | suv | white,highway | road | hydrant | white
5527,1,animal | car | drive | green | hillside | lamb | license plate | lush | minivan | park | ram | road | rural | sedan | sheep | silver | stand | suv,sheep | lush | ram | silver | green | lamb | animal | hillside | park | stand | road | rural
4004,1,arrow | curb | driveway | home | house | house exterior | park | pick up | sign | street sign | truck | white,street sign | sign | home | house | arrow | park | house exterior | curb | white
4819,1,bull | car | cattle | cow | drive | plectrum | pick up | red | road | rural | stand | truck,cattle | cow | plectrum | bull | red | stand | road | rural
7711,1,animal | bison | buffalo | bull | car | trumpet | drive | highway | road | rural | sedan | suv | yak,bull | trumpet | yak | animal | buffalo | bison | highway | road | rural
3784,0,animal | building | bull | car | cow | night | night view | road | stand,cow | night | bull | night view | animal | stand | road | building
5732,1,animal | car | drive | lake | red | road | rural | sedan | stand | suv | water,lake | red | animal | stand | road | rural | water
597,0,building | car | flip | jump | palm tree | park | stop sign | stunt | traffic sign,jump | flip | palm tree | park | traffic sign | stunt | stop sign | building
654,0,car | driveway | flip | jump | house | house exterior | stop sign | traffic sign | tree,jump | tree | flip | house | traffic sign | house exterior | stop sign
2762,0,car | driveway | floor | meter | model car | park | parking meter | pavement | silver | toy car,pavement | silver | parking meter | park | floor | meter
5577,1,car | flip | fly | highway | jump | lift | pick up | red | road | rural | sky | stunt | suv | trick | truck,jump | trick | flip | red | stunt | fly | highway | road | rural | sky | lift
1354,0,alley | building | car | park | parking | parking sign | pavement | sedan | sign | street sign | traffic sign | white,parking sign | street sign | sign | pavement | park | traffic sign | alley | parking | white | building
3785,0,animal | car | city | city skyline | rail | railroad | red | sheep | stand | track | train track | urban,sheep | rail | track | city | railroad | red | animal | stand | train track | urban | city skyline
4190,1,animal | bison | blue | buffalo | bull | car | drive | flip | hang | jeep | lift | moose | pick up | road | rural | suv | tree | truck | white,tree | road | moose | bull | flip | blue | animal | buffalo | bison | lift | rural | white | hang
5940,1,animal | dirt road | dirt track | field | goat | grassy | hill | hillside | lamb | ram | road | rural | sheep | stand | truck | van | white,grassy | sheep | goat | ram | dirt track | hill | lamb | dirt road | animal | hillside | field | stand | road | rural | white
7701,1,animal | car | grass | grassy | lamb | lush | minivan | park | plaque | rural | sheep | stand | suv | white,grassy | sheep | lush | grass | lamb | plaque | animal | park | stand | rural | white
5474,1,animal | black | buffalo | bull | car | drive | jump | jeep | lift | sea | road | rural | suv | vehicle | water,jump | water | bull | sea | animal | buffalo | road | rural | black | lift
6817,1,car | dirt road | drive | image | red | road | rural | suv | umbrella,dirt road | red | umbrella | image | road | rural
4947,1,back | car | dirt field | dirt road | dirt track | drive | fence | jeep | land | park | pick up | road | rural | suv | terrain | truck | vehicle | vineyard,land | back | terrain | dirt track | fence | dirt field | dirt road | park | road | rural | vineyard
6488,1,animal | bull | car | cow | curve | highway | lay | pine | road | rural | sit | suv | tree,cow | tree | pine | sit | bull | animal | curve | highway | road | rural | lay
7298,1,animal | car | dirt road | drive | elephant | jeep | license plate | lush | pick up | road | rural | suv | truck | vehicle,lush | dirt road | elephant | animal | road | rural
7366,1,animal | blanket | car | floor | footprint | night | sedan | silver | snow | snowy | stand | suv | walk | white,night | footprint | silver | walk | blanket | snow | animal | floor | stand | snowy | white
2304,0,car | ceiling | pillar | garage | garage door | green | hang | jump | lift | miniature | model car | parking garage | parking meter | toy car,jump | parking garage | garage door | green | pillar | garage | parking meter | ceiling | lift | miniature | hang
4348,1,car | dirt road | dirt track | drive | path | forest | jeep | night | road | silver | suv | trail | wood,night | forest | silver | dirt track | trail | dirt road | wood | road | path
330,0,advertisement | alley | attach | blue | building | car | city | city street | hang | pole | sign | street sign | urban,building | street sign | sign | advertisement | city | blue | city street | pole | alley | attach | urban | hang
2618,0,car | convertible | driveway | flip | jump | house | house exterior | red | stunt | sports car,jump | flip | house | red | stunt | house exterior
140,0,car | chalk | curb | doodle | driveway | floor | garage door | park | pavement | silver | stop sign | toy car | traffic sign,pavement | silver | garage door | doodle | park | floor | traffic sign | chalk | curb | stop sign
2574,0,alley | building | car | lift | overpass | park | parking garage | parking meter,parking garage | parking meter | overpass | park | alley | lift | building
1902,0,car | green | house exterior | intersection | pole | road | silver | stop light | traffic light | street corner | street sign,stop light | street sign | traffic light | silver | intersection | green | pole | house exterior | road | street corner
3470,0,building | car | flip | fly | jump | house exterior | lift | minivan | ramp | stunt | trick | vehicle | white,jump | trick | flip | ramp | stunt | fly | house exterior | lift | white | building
3556,0,car | drive | path | greenery | lush | park | sedan | silver | suv | tree,lush | tree | silver | greenery | park | path
4655,1,animal | buffalo | car | dirt road | dirt track | drive | elephant | jeep | license plate | minivan | road | rural | silver | suv | vehicle,silver | dirt track | dirt road | elephant | animal | buffalo | road | rural
2227,0,car | driveway | flip | jump | muscle car | park | red | sign | street sign | sports car | tree,jump | street sign | tree | sign | flip | red | park
5837,1,animal | car | dog | pick up | ram | red | road | stand | truck | walk,ram | walk | dog | red | animal | stand | road
3646,0,car | driveway | flip | home | jump | house | house exterior | lift | park | ramp | sedan | stunt | suv | white | yard,jump | flip | house | home | ramp | yard | park | stunt | house exterior | lift | white
1874,0,building | car | driveway | garage | house | park,park | garage | house | building
6112,1,attach | back | car | trench | drive | forest | hill | hillside | lift | mountain path | plectrum | pick up | road | rural | tree | truck | white | wood,forest | tree | back | plectrum | hill | trench | wood | mountain path | hillside | attach | road | rural | white | lift
601,0,car | driveway | garage | garage door | home | house | house exterior | hydrant | red,hydrant | garage door | garage | house | home | red | house exterior
4910,1,animal | black | bull | car | cattle | cow | dirt road | graze | jeep | park | pick up | road | rural | stand | suv | truck | white,cattle | cow | bull | black | dirt road | animal | park | stand | road | rural | graze | white
789,0,car | driveway | flip | home | jump | house exterior | stop sign | traffic sign | white,jump | flip | home | traffic sign | house exterior | stop sign | white
6990,1,blanket | car | drive | flip | fly | jump | road | snow | snowy | suv | tree | white,jump | tree | road | flip | blanket | snow | fly | snowy | white
2281,0,blanket | wall | building | taxi | car | doodle | draw | mural | street art | sports car | toy car | yellow,building | yellow | street art | blanket | doodle | draw | mural | wall
913,0,car | curb | house exterior | park | red | road | sedan | silver | sky | stop light | traffic light | street corner,stop light | traffic light | silver | red | curb | park | house exterior | road | street corner | sky
4817,1,animal | black | bull | car | cattle | cow | dirt road | pick up | road | rural | truck,cattle | cow | bull | dirt road | animal | road | rural | black
3666,0,car | driveway | license plate | man | miniature | model car | road | stand | sports car | toy car | yellow,man | yellow | stand | road | miniature
3820,0,car | path | forest | hydrant | lush | park | red | road | sedan | silver | suv | tree | white | wood,forest | lush | hydrant | silver | tree | red | wood | park | road | path | white
1810,0,car | driveway | flip | home | jump | house | house exterior | hydrant | lift | park | silver | stunt,jump | hydrant | silver | flip | home | house | park | stunt | house exterior | lift
3973,0,car | drive | highway | green | license plate | race track | road | sign | silver | street sign | sports car | toy car | white,street sign | sign | silver | green | highway | road | white | race track
7975,1,animal | car | drive | jump | jeep | lift | red | road | rural | sheep | suv | vehicle,jump | sheep | red | animal | road | rural | lift
2355,0,car | driveway | flip | home | house | house exterior | purple | stunt,purple | flip | home | house | stunt | house exterior
3773,0,attach | building | car | hang | miniature | model car | red | sports car | toy car,building | red | attach | miniature | hang
3593,0,attach | car | electronic | hang | pole | scoreboard | sign | silver | stop sign | street sign | traffic sign,street sign | sign | silver | electronic | traffic sign | pole | attach | stop sign | scoreboard | hang
507,0,alley | attach | blanket | wall | building | car | doodle | draw | fire hose | hose | hydrant | red | spray | toy car | yellow,building | hydrant | yellow | hose | blanket | doodle | draw | red | spray | attach | alley | fire hose | wall
3544,0,building | car | city | city view | flip | fly | stop sign | stunt | traffic sign | urban,city view | flip | city | traffic sign | stunt | fly | stop sign | urban | building
2415,0,car | drive | park | road | silver | sports car,road | park | silver
3636,0,alley | building | car | flip | jump | man | park | rail | ramp | skateboarder | stunt | suv | trick,jump | man | rail | trick | skateboarder | flip | ramp | park | stunt | alley | building
3976,0,boulder | car | desert road | drive | hydrant | mountain path | pole | road | stone | rural | sedan | silver | suv,hydrant | stone | silver | desert road | mountain path | pole | road | rural | boulder
35,0,accident | building | car | city | city view | flip | night | night view | road sign | sign | silver | street sign | stunt | suv | traffic sign | urban,building | night | street sign | sign | silver | night view | flip | city | traffic sign | stunt | city view | urban | road sign
1338,0,alley | wall | car | exit | jump | license plate | park | parking sign | sedan | sign | street sign | tunnel | white,jump | parking sign | street sign | sign | tunnel | park | alley | exit | white | wall
2777,0,alley | building | car | dark | drive | headlight | light | illuminate | license plate | narrow | night | night view | park | road | silver,night | dark | silver | illuminate | night view | light | narrow | park | alley | road | headlight | building
