index,target,tags,irrelevant_tags
3949,1,animal | bird | brown | duckling | grass | lake | owl | pond | reed | stand | stuff | teddy | water,reed | duckling | stuff | lake | teddy | brown | animal | stand | grass | pond | water
1319,0,bird | blue | floor | flower | forest | grass | gray | green | lush | stand | tree | walk | wood | woodland,forest | woodland | floor | green | tree | wood | blue | grass | stand | gray | walk | flower | lush
1188,0,area | bird | floor | forest | green | lush | perch | stand | tree | tree trunk | wood | yellow,forest | floor | wood | green | tree | yellow | stand | area | tree trunk | lush | perch
3104,0,bird | blade | blue | dragonfly | grass | green | insect | perch | plant | reed | sit | stem | swamp | vegetation | weed | wing | yellow,reed | blade | sit | green | yellow | blue | grass | dragonfly | stem | vegetation | weed | plant | insect | perch | swamp
3756,1,bird | boat | aircraft carrier | deck | dock | fly | gull | ledge | sea | rail | sit | stand | vessel | water,fly | dock | boat | sit | ledge | vessel | deck | stand | sea | rail | aircraft carrier | water
4352,1,beak | bird | coast | flap | fly | grass | grassy | gull | hill | hillside | person | land | landing | lush | man | sea | seabird | shoreline | stand | walk | water | wing | woman,coast | land | fly | flap | landing | man | grassy | hill | person | stand | grass | sea | woman | shoreline | walk | hillside | lush | water
3621,0,bird | fly | forest | hang | owl | snowboarder | tree | trick | wood,snowboarder | fly | forest | hang | wood | tree | trick
2824,0,autumn forest | bird | branch | forest | gray | perch | sit | sparrow | stand | tree | wood,autumn forest | branch | forest | sit | wood | tree | stand | gray | perch
4375,1,beach | beak | bird | cloudy | float | sea | pelican | sand | shore | sky | swim | water | white,white | float | cloudy | beach | sand | swim | sea | sky | shore | water
3078,0,bamboo forest | bird | black | branch | path | forest | perch | sit | tree | yellow,branch | forest | sit | tree | yellow | path | black | bamboo forest | perch
414,0,beak | bird | branch | creek | perch | river | sit | stand | stream | water | yellow,branch | river | sit | yellow | stand | stream | creek | perch | water
2154,0,bird | blanket | blue | bluebird | carpet | floor | flower | forest | forest floor | perch | sit | stand | stump | tree | tree trunk | wood | woodland,forest | woodland | carpet | sit | wood | tree | blue | blanket | stand | stump | flower | tree trunk | floor | perch | forest floor
4066,1,beach | beak | bird | couple | duck | flap | sea | sand | seabird | shore | shoreline | spread | wash | water | wing,flap | beach | wash | sand | spread | sea | shoreline | shore | couple | water
3167,0,bird | cloudy | fly | green | ice | ice floe | iceberg | sea | parrot | perch | sky | stand | water | yellow,iceberg | fly | ice | cloudy | green | yellow | stand | sea | ice floe | sky | perch | water
3317,0,bird | floor | forest | perch | pine | sit | stand | tree | tree trunk | wood | yellow,forest | sit | wood | tree | yellow | stand | pine | tree trunk | floor | perch
1963,0,bird | black | boat | ledge | sea | perch | rail | sit | stand | water | yellow,boat | sit | ledge | yellow | stand | sea | black | rail | perch | water
57,0,bird | green | greenery | ledge | lush | sea | perch | sit | stand | tree | vegetation,sit | ledge | tree | green | stand | sea | greenery | vegetation | lush | perch
531,0,bird | brown | floor | forest | log | perch | sit | sparrow | stand | stump | tree | tree trunk | wood,forest | sit | wood | brown | tree | stand | stump | log | tree trunk | floor | perch
147,0,bird | brown | eagle | floor | forest | grass | lush | owl | perch | sit | stand | tree | wood,forest | floor | sit | brown | tree | wood | stand | grass | lush | perch
2805,0,bird | brown | lake | perch | puddle | reflection | stand | tree | water,lake | puddle | brown | tree | stand | reflection | perch | water
427,0,bird | canary | debris | fly | ice | sea | perch | sit | sky | stand | water | yellow,fly | ice | sit | yellow | stand | sea | sky | debris | perch | water
685,0,bamboo forest | bird | branch | cardinal | forest | perch | red | sit | tree | wood,branch | forest | sit | wood | tree | red | bamboo forest | perch
2636,0,bird | blanket | branch | forest | green | hummingbird | lush | perch | sit | stand | tree | tree branch | wood,branch | forest | sit | green | tree | wood | stand | blanket | tree branch | lush | perch
2348,0,bird | black | branch | chair | sea | perch | pool | rail | stone | sit | stand | stool | water | yellow,branch | chair | perch | sit | stone | yellow | stand | sea | black | rail | stool | pool | water
39,0,beak | bird | creek | brown | perch | puddle | stone | stand | water,puddle | brown | stone | stand | creek | perch | water
1718,0,beak | bird | boy | fence | man | park bench | perch | rail | sit | wood | yellow,fence | man | wood | sit | yellow | boy | rail | park bench | perch
500,0,beak | bird | blue | branch | bush | parrot | perch | sit | stand | tree | tree branch | vegetation,branch | sit | tree | bush | blue | stand | vegetation | tree branch | perch
1379,0,bird | branch | forest | limb | parrot | perch | sit | tree | tree branch | twig | wood | yellow,branch | forest | sit | wood | tree | yellow | limb | twig | tree branch | perch
356,0,bird | branch | house finch | green | perch | plant | red | sit | sparrow | stand | stem | vegetation,branch | house finch | sit | green | stand | stem | vegetation | plant | red | perch
2668,0,beak | bird | canary | sea | perch | ride | stand | surf | surfboard | surfer | water | wave | yellow,surfboard | yellow | surfer | stand | sea | surf | wave | ride | perch | water
2818,0,bird | branch | gray | perch | sit | tree | tree branch | wood | yellow,branch | sit | wood | tree | yellow | gray | tree branch | perch
3458,0,bird | canopy | deck | garden | gazebo | hut | lush | parrot | perch | pergola | porch | rail | shelter | sit | stand | yellow,pergola | canopy | porch | sit | garden | yellow | deck | gazebo | rail | stand | hut | shelter | lush | perch
1254,0,autumn forest | beak | bird | creek | food | pond | puddle | stand | tree | water | white,autumn forest | white | puddle | creek | tree | stand | food | pond | water
1341,0,bamboo forest | bird | blue | branch | green | parrot | perch | plant | reed | sit | stand | stem | vegetation,branch | reed | sit | green | blue | stand | stem | vegetation | plant | bamboo forest | perch
132,0,beak | bird | brown | cage | catch | pigtail | girl | perch | ponytail | shoulder | sit | sparrow | stare | woman | yellow,catch | sit | brown | cage | yellow | ponytail | woman | shoulder | stare | girl | perch | pigtail
1253,0,bamboo forest | swimwear | beautiful | bird | brunette | dance | forest | girl | green | parrot | pose | stand | tail | woman | wood,brunette | forest | pose | wood | green | tail | beautiful | stand | woman | dance | swimwear | girl | bamboo forest
2335,0,bird | brown | path | forest | sparrow | stand | trail | tree | walk | wood,trail | forest | wood | brown | tree | path | stand | walk
3174,0,bamboo forest | bird | catch | path | person | hummingbird | perch | stand | walk | woman,catch | path | woman | stand | walk | bamboo forest | perch | person
402,0,banana tree | beak | bird | branch | leaf | food | green | greenery | hide | lush | perch | plant | sit | stand | stem | tree | vegetation,branch | leaf | banana tree | sit | green | tree | stand | stem | greenery | hide | food | vegetation | plant | lush | perch
2246,0,animal | bird | chase | dirt track | person | man | mud | penguin | wood | woodpecker,dirt track | man | wood | animal | person | chase | mud
3484,0,bird | black | blade | blue | branch | grass | green | perch | plant | reed | sit | stand | stem | twig | vegetation,branch | reed | blade | sit | green | blue | black | grass | stand | stem | twig | vegetation | plant | perch
2762,0,beak | bird | black | blanket | crow | flap | flight | floor | fly | forest | raven | snow | snowy | tree | walk | wing | wood,snowy | fly | flight | flap | forest | snow | tree | wood | black | blanket | walk | floor
420,0,bamboo forest | bird | gray | hide | perch | plant | sit | stand | stem | vegetation,sit | stand | stem | hide | vegetation | gray | plant | bamboo forest | perch
517,0,area | bird | brown | floor | forest | green | lush | owl | stand | tree | wood,forest | floor | brown | tree | green | wood | stand | area | lush
135,0,attach | bird | bird feeder | bird house | lamp post | perch | pole | post | sit | stand | street sign | telegraph pole | tree | woodpecker,bird feeder | street sign | sit | tree | stand | telegraph pole | post | attach | lamp post | pole | perch
89,0,bamboo | bamboo forest | bird | black | blue | branch | perch | sit | stand | stem | tree | white,branch | white | sit | tree | bamboo | blue | black | stand | stem | bamboo forest | perch
473,0,beak | bird | black | branch | crow | eagle | parrot | perch | raven | sit | sky | stand | stare | tree,branch | sit | tree | stand | black | stare | sky | perch
268,0,bamboo forest | basket | beak | bird | child | floor | girl | gray | perch | stand,stand | basket | gray | child | girl | bamboo forest | floor | perch
4435,1,area | beak | bird | black | cormorant | daffodil | floor | flower | grass | green | lush | perch | stand | tree | vegetation | yellow,floor | green | tree | yellow | stand | black | area | grass | vegetation | daffodil | flower | lush | perch
2535,0,bird | catch | child | girl | parrot | perch | pose | shoulder | stand | yellow,pose | catch | yellow | stand | shoulder | child | girl | perch
814,0,bird | boat | cardinal | catch | fish | fishing | goggles | motorboat | man | perch | red | trout,boat | catch | fishing | man | fish | goggles | motorboat | red | perch | trout
3800,1,bird | gull | sea | ride | seabird | surf | surfboard | surfer | trick | wave,surfboard | surfer | sea | trick | surf | wave | ride
2333,0,bird | branch | green | lake | ledge | parrot | perch | rail | sit | stand | tree | water | yellow,branch | lake | sit | ledge | green | tree | yellow | stand | rail | perch | water
3029,0,beak | bird | branch | floor | forest | owl | stand | tree | wood | woodpecker | yellow,branch | forest | wood | tree | yellow | stand | floor
115,0,bird | brown | cage | fence | gray | ledge | perch | pole | rail | sit | stand | tree | white,white | fence | sit | brown | cage | ledge | tree | stand | rail | gray | pole | perch
1033,0,beak | bird | branch | den | green | hide | lush | nest | perch | tree | yellow,branch | nest | den | green | tree | yellow | hide | lush | perch
3915,1,bird | fly | food | grass | gray | gull | lake | land | landing | pond | reed | water | waterway | weed | white | wing,reed | lake | land | fly | white | landing | grass | waterway | food | gray | weed | pond | water
3811,1,beak | bird | blanket | calm | duck | lake | stand | water,lake | calm | stand | blanket | water
771,0,bird | branch | eye | limb | owl | perch | sit | stare | tree | tree branch | yellow,branch | sit | tree | yellow | limb | eye | stare | tree branch | perch
2285,0,bird | floor | forest | gray | lush | perch | stand | tree | wood,forest | wood | tree | lush | stand | gray | floor | perch
3068,0,bamboo | bamboo forest | bird | flight | fly | path | forest | tree | yellow,fly | forest | tree | bamboo | yellow | path | bamboo forest | flight
711,0,animal | bamboo | bamboo forest | bird | hide | owl | stem | tree,tree | bamboo | animal | stem | hide | bamboo forest
3429,0,bird | blue | blue jay | floor | forest | gray | lush | perch | sit | stand | tree | tree trunk | vegetation | white | wood,white | forest | floor | blue jay | sit | wood | tree | blue | stand | vegetation | gray | tree trunk | lush | perch
2549,0,bird | boardwalk | seawall | dock | person | lake | perch | rail | sit | stand | water | woodpecker,lake | boardwalk | dock | sit | seawall | person | stand | rail | perch | water
3856,1,apartment | bird | boat | building | canal | crane | dock | hotel | vessel | water | waterway,building | apartment | dock | boat | vessel | waterway | canal | hotel | water
3242,0,bamboo | bamboo forest | bird | green | perch | pole | stand | tree | tree trunk | writing | yellow,green | tree | bamboo | yellow | stand | bamboo forest | tree trunk | pole | perch | writing
1214,0,beak | bird | branch | limb | parrot | perch | sit | tree | tree branch | water | yellow,branch | sit | tree | yellow | limb | tree branch | perch | water
304,0,bamboo | bamboo forest | beak | bird | stand | stem | tree | woodpecker,tree | bamboo | stand | stem | bamboo forest
3564,0,beak | bird | branch | green | limb | nest | parrot | perch | sit | tree | tree branch,branch | nest | sit | green | tree | limb | tree branch | perch
3452,0,bamboo | bamboo forest | bird | branch | brown | green | perch | sit | sparrow | stand | stem | tree,branch | sit | brown | bamboo | green | tree | stand | stem | bamboo forest | perch
645,0,area | bird | black | floor | forest | perch | stand | tree | wood | yellow,forest | wood | tree | yellow | stand | black | area | floor | perch
4284,1,beak | bird | black | lake | pigeon | pond | puddle | stand | water | waterway,lake | puddle | stand | black | waterway | pond | water
4408,1,mollymawk | beak | bird | cactus | gull | nest | sea | stone | seabird | sit | water | white,white | nest | mollymawk | sit | stone | sea | cactus | water
1113,0,bird | blanket | field | floor | frost | frosty | grass | green | lush | mud | parrot | patch | perch | pond | puddle | sit | stand | swamp | water | winter | yellow,blanket | floor | swamp | patch | frosty | green | yellow | stand | grass | pond | perch | winter | field | lush | water | puddle | sit | frost | mud
276,0,bird | bush | house finch | floor | flower | flower bed | garden | gravel | perch | plant | red | sparrow | stand | tree | walk,house finch | garden | tree | stand | flower bed | gravel | walk | plant | flower | bush | red | floor | perch
2237,0,area | bird | floor | fly | forest | magpie | tree | tree trunk | wood | woodpecker,fly | forest | wood | tree | area | tree trunk | floor
1409,0,bird | bird feeder | bird house | gray | perch | pole | post | sit | stand | tree,bird feeder | sit | tree | stand | gray | post | pole | perch
3494,0,bamboo forest | bird | blue | branch | fly | forest | parrot | tree | yellow,branch | fly | forest | tree | yellow | blue | bamboo forest
4726,1,bird | coast | duck | fence | goose | grass | grassy | hillside | ledge | lush | sea | rail | stand | water,coast | fence | ledge | grassy | goose | stand | grass | sea | rail | hillside | lush | water
3041,0,bamboo forest | bird | forest | green | ledge | parrot | perch | rail | road | sit | stand | tree | yellow,road | forest | sit | ledge | green | tree | yellow | stand | rail | bamboo forest | perch
1527,0,beak | bird | branch | brown | bush | evergreen | flower | perch | plant | sit | stand | tree | vegetation | white,branch | evergreen | white | sit | brown | tree | stand | vegetation | plant | flower | bush | perch
66,0,beak | bird | branch | canary | limb | perch | sit | tree | tree branch | tree trunk | twig | yellow,branch | sit | tree | yellow | limb | twig | tree branch | tree trunk | perch
3650,0,baby | beak | bird | creek | duckling | green | nest | perch | pond | reed | stand | vegetation | water | yellow,reed | duckling | baby | nest | green | creek | yellow | stand | vegetation | pond | perch | water
1103,0,beak | bird | boat | dock | motorboat | ledge | sea | perch | vessel | water | woodpecker,dock | boat | ledge | vessel | sea | motorboat | perch | water
3538,0,beak | bird | branch | brown | perch | sit | sparrow | stand | swamp | water | yellow,branch | sit | brown | yellow | stand | swamp | perch | water
3640,0,balance | bamboo | bamboo forest | bird | brown | catch | hand | head | laugh | perch | shoulder | stand | woman,laugh | catch | brown | bamboo | stand | woman | shoulder | bamboo forest | head | balance | perch | hand
2988,0,bamboo forest | beak | bird | branch | canary | path | forest | perch | sit | stand | tree | tree branch | twig | wood | yellow,branch | forest | sit | wood | tree | yellow | path | stand | twig | tree branch | bamboo forest | perch
2644,0,bamboo forest | bird | brown | floor | forest | ledge | perch | sit | stand | tree | wood,forest | sit | brown | tree | ledge | wood | stand | bamboo forest | floor | perch
4463,1,brown | city | duck | mallard | mallard duck | water | waterway,city | brown | mallard | waterway | water
3711,0,bamboo forest | beak | bird | path | forest | person | man | stand | stem | trail | walk | wood | yellow,trail | forest | man | wood | yellow | path | stand | stem | walk | bamboo forest | person
3724,0,beak | bird | branch | calm | lake | sea | perch | stone | sit | sky | sunset | water,branch | lake | calm | sit | stone | sunset | sea | sky | perch | water
1235,0,bamboo | bamboo forest | beak | bird | branch | canary | green | hide | perch | plant | sit | stand | stem | yellow,branch | sit | green | bamboo | yellow | stand | stem | hide | plant | bamboo forest | perch
1930,0,animal | bird | elephant | forest | person | jungle | man | ride | sparrow | stand | walk | wood,forest | man | wood | elephant | animal | stand | walk | jungle | ride | person
2227,0,bird | cloudy | fly | green | lake | parrot | pond | puddle | sky | swamp | water | wetland | yellow,lake | fly | puddle | cloudy | green | wetland | yellow | sky | pond | swamp | water
4377,1,beak | bird | boardwalk | dock | gull | ledge | sea | perch | pole | rail | sign | sit | stand | street sign | water | white,white | street sign | boardwalk | dock | sign | ledge | sit | stand | sea | rail | pole | perch | water
577,0,bamboo forest | bird | canary | forest | perch | sit | stand | train track | tree | wood | yellow,train track | forest | sit | wood | tree | yellow | stand | bamboo forest | perch
4680,1,beach | beak | bird | coast | food | gull | sea | stone | rocky | seabird | shore | shoreline | stand | water | white | worm,coast | white | worm | rocky | beach | stone | stand | sea | food | shoreline | shore | water
4487,1,area | autumn forest | bird | floor | forest | gray | perch | pigeon | sit | stand | tree | wood,autumn forest | forest | sit | wood | tree | stand | area | gray | floor | perch
4326,1,beak | bird | dive | diver | gull | sea | perch | seabird | snorkel | stand | underwater | water | wetsuit | white,dive | underwater | white | diver | wetsuit | snorkel | stand | sea | perch | water
1058,0,beak | bird | branch | food | perch | red | tree | tree trunk | woodpecker,branch | tree | food | red | tree trunk | perch
3002,0,bird | black | fly | green | hillside | lush | palm tree | perch | sit | tree | vegetation | yellow,fly | sit | green | tree | yellow | black | vegetation | palm tree | hillside | lush | perch
176,0,beak | bird | black | blackbird | branch | brush | floor | grass | green | lush | perch | red | stand | vegetation,branch | floor | green | stand | black | grass | vegetation | brush | red | lush | perch
1897,0,bamboo forest | bird | branch | perch | reed | sit | stem | tree | yellow,branch | reed | sit | tree | yellow | stem | bamboo forest | perch
4637,1,bird | blanket | fly | gull | iceberg | mountain | sea | puffin | seabird | sky | snow | snowy | trick | water,snowy | iceberg | fly | snow | blanket | sea | sky | trick | mountain | water
1429,0,beak | bird | flap | flight | fly | hummingbird | lush | nectar | perch | plant | red | vegetation,fly | flight | flap | vegetation | nectar | plant | red | lush | perch
655,0,bamboo forest | beak | bird | black | branch | perch | sit | stand | tree | yellow,branch | sit | tree | yellow | stand | black | bamboo forest | perch
1040,0,bamboo forest | bird | brown | dress | floor | person | man | owl | perch | robe | sit | stand | stool | woman,man | brown | sit | stand | woman | bamboo forest | stool | dress | robe | floor | perch | person
1298,0,bamboo forest | bird | person | perch | sit | stand,sit | stand | bamboo forest | perch | person
2374,0,beak | bird | blue | branch | fly | forest | tree | tree trunk | wood,branch | fly | forest | wood | tree | blue | tree trunk
1408,0,beak | bird | black | branch | perch | pine | sit | sky | tree | yellow,branch | sit | tree | yellow | black | pine | sky | perch
2933,0,bird | blade | blue | branch | grass | green | lush | perch | plant | sit | stand | stem | twig | vegetation | weed,branch | blade | sit | green | blue | grass | stand | stem | vegetation | twig | weed | plant | lush | perch
1366,0,beak | bird | cloudy | fly | jump | lake | sea | sky | sunset | water,lake | fly | cloudy | jump | sunset | sea | sky | water
3534,0,bamboo | bamboo forest | bird | boy | child | shirt | stand,bamboo | shirt | stand | boy | child | bamboo forest
4437,1,beak | bird | black | creek | cormorant | ledge | log | perch | pond | stone | sit | stand | tree | water | water bird,sit | ledge | tree | stone | creek | stand | black | log | pond | perch | water
3601,0,baby | bird | duck | duckling | lake | pond | stand | water | water bird,duckling | baby | lake | stand | pond | water
4699,1,beak | bird | black | calm | duck | float | lake | pond | stand | water | water bird,lake | float | calm | stand | black | pond | water
3489,0,beak | bird | black | brush | grass | green | hide | lush | perch | reed | sit | stand | vegetation | weed | white | yellow,reed | white | sit | green | yellow | stand | black | grass | hide | vegetation | weed | brush | lush | perch
2393,0,beach | beak | bird | cloudy | fly | sea | sand | sky | stand | water,fly | cloudy | beach | sand | stand | sea | sky | water
4634,1,bird | cliff | gull | lake | ledge | sea | stone | rocky | seabird | sky | stand | sunset | water,lake | rocky | ledge | stone | sunset | stand | sea | cliff | sky | water
105,0,beak | bird | brown | daisy | flower | fly | gray | pond | sparrow | stand | water | white,daisy | fly | white | brown | stand | gray | flower | pond | water
3133,0,bird | branch | brown | ledge | perch | sit | tree | tree trunk | yellow,branch | sit | ledge | tree | brown | yellow | tree trunk | perch
2985,0,bird | fern | floor | forest | gray | perch | pine forest | stand | tree | walk | wood | yellow,forest | wood | tree | yellow | stand | gray | walk | fern | pine forest | floor | perch
1656,0,trench coat | beak | bird | fly | forest | person | jacket | man | raincoat | stand | tree | tree trunk | wood,fly | forest | man | wood | tree | trench coat | stand | jacket | raincoat | tree trunk | person
4572,1,bird | boat | calm | rowboat | canoe | fly | gull | person | man | sea | stand | water | white,white | fly | canoe | boat | calm | man | person | stand | sea | rowboat | water
2011,0,bird | field | grass | grassy | green | lush | owl | park | pine | sculpture | tree,green | tree | grassy | sculpture | grass | field | pine | park | lush
1211,0,animal | autumn | autumn forest | autumn leave | autumn park | autumn tree | dog | floor | jump | park | tree | yellow,autumn forest | jump | tree | autumn park | animal | autumn | yellow | autumn leave | park | floor | dog | autumn tree
4128,1,beak | bird | floor | food | gull | ledge | mud | sea | open | puddle | stone | sand | sky | stand | water | white,white | mud | puddle | ledge | stone | open | sand | stand | sea | food | sky | floor | water
4028,1,beak | bird | branch | food | gray | gull | limb | perch | reed | sit | stand | stem | tree | tree branch | twig | white,branch | reed | white | sit | tree | limb | stand | stem | food | gray | twig | tree branch | perch
3688,0,bird | branch | brown | ledge | limb | perch | sit | stand | tree | tree branch | yellow,branch | sit | ledge | tree | brown | yellow | limb | stand | tree branch | perch
1380,0,area | beak | bird | black | brown | floor | grass | lush | sparrow | stand | tree | walk | white,white | floor | brown | tree | stand | black | area | grass | walk | lush
3826,1,beak | bird | duck | duckling | float | goose | lake | pond | stand | swan | water | water bird,duckling | swan | float | lake | goose | stand | pond | water
1121,0,bird | bird feeder | bird house | branch | canary | nest | parrot | perch | sit | tree | tree house | tree trunk | wood | yellow,branch | bird feeder | nest | sit | wood | tree | tree house | yellow | tree trunk | perch
747,0,bamboo | bamboo forest | beak | bird | branch | hide | perch | pink | red | sit | stand | stem | tree,branch | pink | sit | tree | bamboo | stand | stem | hide | red | bamboo forest | perch
4520,1,beach | bird | black | cormorant | crane | flight | fly | landing | sea | pelican | photo | sand | seabird | shoreline | sky | spread | water | white | wing,white | fly | landing | beach | photo | sand | spread | sea | black | shoreline | sky | flight | water
2708,0,autumn forest | beak | bird | floor | forest | green | owl | parrot | perch | sit | stand | tree | wood,autumn forest | forest | sit | green | tree | wood | stand | floor | perch
